iter	Passed	Remaining
0	0	90
1	1	79
2	2	76
3	2	68
4	3	67
5	4	66
6	5	67
7	5	65
8	6	63
9	6	62
10	7	62
11	8	61
12	8	59
13	9	58
14	10	57
15	10	57
16	11	56
17	12	56
18	13	56
19	13	55
20	14	55
21	15	55
22	16	54
23	16	53
24	17	52
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	34	35
49	35	35
50	36	34
51	36	33
52	37	33
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	66	0
