iter	Passed	Remaining
0	195	195287
1	196	98026
2	197	65659
3	198	49435
4	204	40634
5	206	34142
6	207	29389
7	208	25831
8	209	23051
9	210	20831
10	211	19019
11	212	17518
12	213	16227
13	214	15113
14	216	14235
15	218	13408
16	219	12678
17	220	12028
18	221	11425
19	222	10882
20	222	10389
21	223	9939
22	224	9525
23	225	9151
24	225	8806
25	226	8481
26	227	8182
27	227	7904
28	228	7644
29	228	7403
30	229	7182
31	231	6990
32	232	6811
33	233	6632
34	234	6454
35	234	6286
36	235	6129
37	236	5979
38	236	5837
39	237	5701
40	238	5572
41	238	5451
42	239	5334
43	240	5223
44	241	5116
45	241	5015
46	242	4916
47	243	4824
48	243	4732
49	244	4645
50	245	4561
51	247	4510
52	248	4446
53	249	4378
54	250	4308
55	251	4239
56	252	4171
57	252	4105
58	253	4042
59	254	3988
60	255	3931
61	256	3873
62	256	3817
63	257	3765
64	258	3714
65	258	3664
66	259	3614
67	260	3566
68	261	3530
69	262	3492
70	263	3452
71	264	3413
72	265	3373
73	266	3333
74	267	3297
75	268	3260
76	268	3222
77	269	3184
78	270	3148
79	270	3113
80	271	3081
81	272	3049
82	272	3013
83	273	2983
84	274	2952
85	274	2922
86	276	2900
87	278	2883
88	279	2866
89	280	2839
90	281	2812
91	282	2786
92	282	2759
93	283	2733
94	284	2709
95	285	2684
96	285	2661
97	286	2638
98	287	2613
99	287	2590
100	288	2567
101	289	2545
102	289	2523
103	290	2502
104	291	2487
105	293	2475
106	294	2455
107	294	2435
108	295	2416
109	296	2397
110	296	2377
111	297	2358
112	298	2343
113	299	2327
114	300	2309
115	300	2292
116	301	2273
117	301	2256
118	302	2240
119	303	2223
120	303	2207
121	304	2194
122	305	2178
123	306	2167
124	308	2159
125	309	2149
126	311	2139
127	312	2127
128	313	2114
129	313	2100
130	314	2086
131	315	2073
132	316	2060
133	316	2046
134	317	2032
135	318	2020
136	318	2008
137	319	1995
138	320	1982
139	320	1971
140	322	1962
141	323	1954
142	324	1946
143	325	1935
144	326	1923
145	326	1912
146	327	1900
147	328	1889
148	329	1881
149	330	1872
150	331	1861
151	331	1850
152	332	1839
153	332	1828
154	333	1818
155	334	1808
156	334	1798
157	335	1789
158	337	1784
159	339	1781
160	340	1772
161	341	1764
162	342	1756
163	342	1748
164	343	1739
165	344	1730
166	345	1721
167	345	1712
168	346	1703
169	347	1694
170	347	1685
171	348	1677
172	349	1669
173	349	1660
174	350	1652
175	351	1645
176	353	1642
177	355	1639
178	356	1636
179	357	1628
